SESSION_ID,IMAGES,REVIEWS,FAQ,SPECS,SHIPPING,BRO_TOGETHER,COMPARE_SIMILAR,VIEW_SIMILAR,WARRANTY,SPONSORED_LINKS,BUY
1001,0,0,1,0,1,0,0,0,1,0,0
1002,0,1,1,0,0,0,0,0,0,1,0
1003,1,0,1,1,1,0,0,0,1,0,0
1004,1,0,0,0,1,1,1,0,0,0,0
1005,1,1,1,0,1,0,1,0,0,0,0
1006,1,0,0,1,0,1,1,0,0,0,0
1007,1,1,0,1,1,1,0,1,0,1,0
1008,0,1,1,1,1,0,1,0,1,1,1
1009,1,0,1,0,1,0,1,0,1,1,0
1010,1,1,1,1,0,0,1,1,0,1,0
1011,1,0,0,1,0,1,0,0,0,1,0
1012,0,0,0,1,1,0,0,1,1,1,0
1013,0,0,1,0,0,1,1,0,1,0,0
1014,1,0,1,0,1,1,1,0,0,1,1
1015,1,1,0,1,1,1,1,1,1,0,0
1016,1,1,0,0,1,1,1,1,1,0,1
1017,0,0,0,0,1,1,0,1,0,0,0
1018,0,0,1,0,1,0,0,0,0,1,0
1019,1,1,1,0,0,1,0,0,0,0,1
1020,0,0,1,0,0,1,0,0,1,1,0
1021,0,1,1,1,1,1,0,0,0,1,0
1022,0,0,1,0,1,0,0,0,1,0,0
1023,1,1,1,0,0,1,0,0,0,0,1
1024,0,1,1,1,1,1,0,0,0,1,0
1025,0,1,1,0,0,1,1,1,0,1,1
1026,0,1,0,0,0,1,1,0,0,0,1
1027,1,1,1,0,1,0,1,0,0,0,0
1028,1,0,1,0,1,0,1,1,0,1,1
1029,1,0,0,1,0,0,0,0,1,1,1
1030,1,1,0,1,0,1,1,1,1,1,0
1031,0,0,1,0,1,0,0,1,1,0,0
1032,0,0,1,1,1,0,0,1,1,0,0
1033,1,1,1,1,1,1,1,0,1,1,1
1034,0,1,0,0,1,0,0,1,0,1,0
1035,0,1,1,1,1,0,1,0,1,0,1
1036,1,1,0,1,0,1,1,1,1,0,0
1037,0,0,1,0,0,1,1,0,1,0,0
1038,1,1,0,0,1,0,0,1,0,1,1
1039,0,1,0,0,1,1,0,0,1,0,1
1040,0,1,0,0,0,1,1,1,1,1,1
1041,0,0,0,0,1,1,0,1,0,0,0
1042,0,1,0,0,1,0,0,1,0,1,0
1043,0,0,0,0,1,0,1,1,1,1,1
1044,0,1,1,1,0,1,0,0,1,0,0
1045,1,0,1,0,1,0,1,1,0,1,1
1046,0,1,0,1,1,0,0,1,1,0,1
1047,0,1,1,0,0,1,1,0,0,1,0
1048,0,0,1,0,0,1,1,0,1,0,0
1049,1,1,1,0,0,0,1,0,1,1,1
1050,1,0,0,0,0,1,1,1,1,0,0
1051,1,0,1,1,0,0,0,0,1,0,0
1052,1,0,0,0,1,1,1,0,0,0,0
1053,1,0,1,1,1,0,0,0,1,0,0
1054,0,1,0,0,1,1,1,0,1,1,1
1055,1,1,0,0,1,0,1,0,1,1,1
