PROBLEM_TYPE,COUNT,AVG_CALLS_TO_RESOLVE,AVG_RESOLUTION_TIME,REOCCUR_RATE,REPLACEMENT_RATE
Admin Password Lost,45,2.3,54,0.15,0
Windows Reboots automatically,47,3.1,132,0.3,0.03
System not coming up after reboot,12,4,154,0.02,0.05
Slow system,165,1.2,32,0.03,0
Internet Connectivity loss,321,1,5,0.21,0
New Installation hangs,22,3.3,140,0.14,0.01
Intermittent Blank Screen,23,4.3,143,0.21,0.06
Too many popups in Browser,230,1.3,23,0.02,0
Cannot find printer,193,1.2,33,0.03,0
Missing peripheral driver,24,2.8,180,0.04,0
Cannot detect keyboard,450,1,8,0.25,0
Cannot detect mouse,520,1,7,0.28,0
Head phone jack not working,390,1,9,0.27,0
DVD read error,140,1.7,23,0.05,0.04
Cannot recover using restore,72,2.3,125,0.02,0
WIFI not functioning,290,1.1,11,0.22,0
Laptop not charging,29,2.2,45,0.35,0.22
Laptop loses charge very fast,43,2.1,56,0.31,0.28
Dark areas on screen,78,2.2,44,0.19,0.21
anti-virus not working,170,1.3,32,0.04,0
