LIFETIME,TYPE,REASON,AGE_GROUP,EMP_STATUS,MARITAL_STATUS,RENEWALS,PROBLEMS,OFFERS
1 - 3 M,CANCEL,BETTER DEALS,< 20,STUDENT,SINGLE,0,0 to 5,0 to 2
1 - 3 M,CANCEL,BETTER DEALS,< 20,STUDENT,SINGLE,0,0 to 5,0 to 2
1Y - 2Y,CANCEL,NOT HAPPY,30 - 50,EMPLOYED,MARRIED,1,10 plus,0 to 2
1Y - 2Y,EXPIRY,BETTER DEALS,30 - 50,EMPLOYED,MARRIED,1,0 to 5,2 to 5
1Y - 2Y,CANCEL,NOT HAPPY,30 - 50,UNEMPLOYED,SINGLE,1,10 plus,0 to 2
2YPLUS,EXPIRY,NO NEED,50PLUS ,EMPLOYED,DIVORCED,2PLUS,5 to 10,2 to 5
2YPLUS,EXPIRY,NO NEED,50PLUS ,EMPLOYED,DIVORCED,2PLUS,5 to 10,2 to 5
2YPLUS,CANCEL,NOT HAPPY,20 - 30,EMPLOYED,SINGLE,2PLUS,10 plus,2 to 5
3M to 1Y,CANCEL,NO NEED,20 - 30,UNEMPLOYED,DIVORCED,0,0 to 5,0 to 2
2YPLUS,CANCEL,NOT HAPPY,20 - 30,EMPLOYED,SINGLE,2PLUS,10 plus,2 to 5
2YPLUS,CANCEL,NOT HAPPY,20 - 30,EMPLOYED,SINGLE,2PLUS,10 plus,2 to 5
2YPLUS,EXPIRY,NO NEED,50PLUS ,EMPLOYED,DIVORCED,2PLUS,5 to 10,2 to 5
3M to 1Y,CANCEL,NO NEED,20 - 30,UNEMPLOYED,DIVORCED,0,0 to 5,0 to 2
1Y - 2Y,EXPIRY,NO NEED,30 - 50,UNEMPLOYED,DIVORCED,1,0 to 5,0 to 2
1Y - 2Y,EXPIRY,BETTER DEALS,30 - 50,EMPLOYED,MARRIED,1,0 to 5,2 to 5
1Y - 2Y,EXPIRY,BETTER DEALS,30 - 50,EMPLOYED,MARRIED,1,0 to 5,2 to 5
3M to 1Y,CANCEL,NO NEED,20 - 30,UNEMPLOYED,DIVORCED,0,0 to 5,0 to 2
1Y - 2Y,EXPIRY,BETTER DEALS,30 - 50,EMPLOYED,MARRIED,1,0 to 5,2 to 5
2YPLUS,EXPIRY,NO NEED,50PLUS ,EMPLOYED,MARRIED,2PLUS,5 to 10,2 to 5
2YPLUS,CANCEL,NOT HAPPY,20 - 30,EMPLOYED,SINGLE,2PLUS,10 plus,2 to 5
1Y - 2Y,CANCEL,NO NEED,30 - 50,UNEMPLOYED,DIVORCED,1,0 to 5,0 to 2
1 - 3 M,CANCEL,BETTER DEALS,< 20,STUDENT,SINGLE,0,0 to 5,0 to 2
1 - 3 M,CANCEL,BETTER DEALS,< 20,STUDENT,SINGLE,0,0 to 5,0 to 2
1Y - 2Y,EXPIRY,BETTER DEALS,30 - 50,EMPLOYED,MARRIED,1,0 to 5,2 to 5
3M to 1Y,CANCEL,NO NEED,20 - 30,UNEMPLOYED,SINGLE,0,0 to 5,0 to 2
1Y - 2Y,EXPIRY,NO NEED,30 - 50,UNEMPLOYED,DIVORCED,1,0 to 5,0 to 2
2YPLUS,EXPIRY,NO NEED,50PLUS ,EMPLOYED,DIVORCED,2PLUS,5 to 10,2 to 5
1Y - 2Y,CANCEL,NOT HAPPY,30 - 50,EMPLOYED,MARRIED,1,10 plus,0 to 2
3M to 1Y,EXPIRY,NO NEED,20 - 30,UNEMPLOYED,SINGLE,0,0 to 5,0 to 2
1 - 3 M,CANCEL,BETTER DEALS,< 20,STUDENT,SINGLE,0,0 to 5,0 to 2
1Y - 2Y,CANCEL,NOT HAPPY,30 - 50,UNEMPLOYED,SINGLE,1,10 plus,0 to 2
